article_id,question,correct_answer,false_answer
51605,Why do the Agents kill the Konvs?,They can commit lawless acts without punishment,Once they depart to Centaurus they become unreachable to the law
51295,"If Dan and Erica had been seen together before the accident, what would people have likely thought?",They are a good looking couple,She is taller than he is
61090,"If the newspapers and the police choose to continue ignoring the letters from The Scorpion, what will likely happen?","The Scorpion will step in again, leaving his signature, and likely send another letter to the newspaper as a warning to criminals. ",The Scorpion will likely retaliate against the newspapers in his own dangerous stunt. 
61242,What was the problem with having the fifty-five gallon barrell in the dome?,It took up too much room in an already crowded area.,It weighed too much to be supported by the dome.
63919,What did David determine the black box was for?,A device to deliver medication,A navigation device
61097,What can be inferred about the personality of Chip?,He was caring and generous when no one else was,He only cared about the food he prepared 
24977,How does Pembrook feel about Mary Ann?,Mary Ann is a means to an end for Pembrook.,"At, first Mary Ann was a means to an end, but now Pembrook is in love with her."
51494,Why does the Captain go looking for Purnie?,The Captain knows Purnie saved the crew.,The Captain knows a radioactive animal is worth a fortune.
62569,Which best describes the relationship between the protagonists?,They work together and are able to coordinate with each other pretty well.,They're friendly but their friendship detracts from their ability to problem-solve and be productive.
24278,Why wasn't Read wearing his green beret when arrested Umluana?,Read was in plain clothes. They were undercover.,Read forgot that he placed it in his pocket earlier.
32836,Why does Groz not want to go into the mountain? ,He is nervous about the technology left behind,He knows it will be hard to see the people he is chasing
61242,What caused the explosion that resulted in the loss of air on Freedom 19?,The calking mixture leaked onto the air tank.,The compound mixture was mixed too quickly.
51092,What wasn't abnormal in the detective kit?,the flashlight,the Detectolite
23791,How does Sattell hope to get rid of Pop?,Escaping on board a secondhand lunar tour vessel,Blowing up the shack near the edge of the Big Crack
25086,Which emotion does the Venusian delegate intentionally tap into in order to more effectively achieve its mission?,fear,shame
50766,How good is Caswell at his job?,He's good at his job but not enough people know it,He's respected by his students but never by his fellow staff
20043,What does the author believe is Dole's real grievance with the New York Times? ,Dole feels isolated from the Washington elite,Dole is angry because he cannot use them to bolster his campaign
50988,How are Helen and Gabriel Lockhard similar?,they both despise Gabe,they both seek revenge
60713,What happened to Mr. Palugger?,He died of his illness.,He was beaten to death.
51337,"Raymond comments, "" ' Ninian was a ninny to locate in a mercantile suburb where any little thing out of the will cause talk.  How thankful I am that our era has completely disposed of the mercantiles --' ""

What irony can be found in this statement?","Rather than be grateful that gossip has been eradicated in the future, Raymond is thankful that an entire class of people has been eliminated.","He calls the master behind their grand plan ""a ninny."""
63890,"Which three things do Venusians love about Terrans?
","The name “Joe,” Terran cigarettes, and their fun jokes. 
","Terran idioms, Terran cigarettes, and the Terran interest in Venus. 
"
51361,Why did the Wazzenazzian feel that he would be beneficial as an employee to the recruiter?,He said he knew all there is to know about alien life-forms,He was capable of speaking all languages. 
50969,What is NOT a reason that a child probably shouldn't read this?,There was gun violence (with space rays),There was casual sexism
61405,What DIDN'T Mia learn at the campsite she located?,Why the ship flew over her head,People grow old and gray on this planet
51256,What was Boris Knackenpast's great accomplishment?,Nobel prize for literature,Pretending to be a robot
50103,How does rejuvenation work?,it re-trains the brain to develop younger cells,drugs convince the body to feel younger
63109,Why is Billy so drawn to Grannie Annie? ,"She's an eccentric adventurer at heart, and compelling. ",She knows about the Green Flame and Billy wants to know more about them. 
51656,How does the CPA prevent crime?,"The CPA prevents crime using constant surveillance, subliminal messaging, public shaming, and various psychological treatments, including lobotomy.",The CPA prevents crime with brain implants that suppress the criminal nature.
51129,What characteristic of Zotul does he believe he shares with the Earthmen? ,integrity,cunning
53016,What central difference between the planets Gloryanna and Mypore is most important to the story? Why is this significant to Hannah and the narrator?,"Gloryanna has outlawed and eradicated the marocca plants, while Mypore continues to cultivate the plants. Hannah and the narrator think they will be able to make an enormous profit by transporting and selling the plants to Gloryanna.","Gloryanna has outlawed and eradicated the marocca plants, while Mypore continues to to cultivate them. Gloryanna’s population is sick of Myporians trying to sell marocca on their planet, so the narrator and Hannah hope to capitalize on the issue by bringing them to Gloryanna’s black market."
61119,Why did Madison ultimately think gathering the large rock was a bad decision?,It would begin to affect his memory later.,The gun would have been a better option for self-defense.
63527,What would have likely happened had Parker and Queazy or the Saylor brothers never located the asteroid?,Starre would have been able to call off the wedding to Mac. ,Mr. Burnside would have traveled to get the asteroid himself. 
51597,All of the following is 'recycled' to create extra 'food' EXCEPT for:,bones,urine
63875,What's really happening on Mercury?,Peet is lying to stop Earth from granting Mercurians their freedom.,Peet wants to sell his Lotonka Trust and get back to Earth.
32836,Which lingering effect of the Ryzgas' downfall makes life challenging for people like Var and Neena?,"The Ryzgas destroyed or used up all of their materials, so Var and Neena's people can only construct things with their dreams","The Ryzgas toxified the environment, which has caused a genetic mutation among their descendants"
23588,What does the colonel seem to think about the bomb situation at the mental institution?,He is worried about the perception if others hear about what's happening,He wants to keep the story away from the newspapers so that others cannot learn Thaddeus' secrets
99902,What is ironic about Sara's father's justification for the ads on his page?,"He claims to value entities that create jobs, and ignores the potential for solar energy to do the same.","He accuses Sara of hating advertising, when her job involves advertising."
20015,What was said to be concernig about the relationship between Shawn and Ross?,They began their relationship as an affair.,They seemed to proritize their romance rather than their work.
24977,What type of person is Frank?,Frank is cautious and skilled enough to develop plans to get out of unexpected situations.,Frank is thoughtful in his interactions with others but tends to miss details.
51256,How did Colonel James get away at the end?,He threw a rock,He threw a grenade
60515,"Who is the protagonist of the story and what is their main objective? 
","An ex soldier who fought in World War III, traveling home to his wife. 
","An ex soldier who fought in World War II, traveling home to his wife and children. 
"
51337,"By all accounts, Martin should be grateful for the descendants,","but he is unappreciative of the lifestyle they bring to him because he would rather have things the way he was accustomed to.  He sees that even though his lifestyle was rudimentary in comparison, it was genuine.",and he is.  They have introduced Martin to a much better lifestyle than he was accustomed to.
51494,Why does Forbes want to take Purnie?,Forbes wants Purnie because he emits radiation.,Forbes wants Purnie because he can stop time.
51337,"At the age of eleven, Martin recognizes",the descendants are immature and ill-equipped to deal in matters of practicality and common sense.,"the descendants are really the instrument of Conrad, and they are there to do his bidding."
51092,What wasn't strange about the dress purchased?,it spoke to Sally ,it changed colors
51295,How was Dan able to explain Wysocki's theorem?,He made it up,One of his previous memories told him
61481,"What is the significance of the evidence of human lodging on the islet? 
","Nazis were hiding out there.
","The Islet is where the zone of silence is to be built. 
"
20019,What is the overall tone of the passage?,hopeless,sympathetic
63616,Why did the two robots sedate Harper in his room?,They thought he was Jake Ellis.,"They were going to put him through an intense fitness, diet, and sleep regimen he had requested."
51688,What is Mr. Turner addicted to?,old magazines,pornography 
51286,Why does no one on town know who Haron Gorka is?,"He’s not a real resident, but an interstellar visitor. ",He’s not a real resident. He’s using a fake name while he stays in town. 
63304,"How do Svan and his five fellow insurgents find out that the people of Earth no longer think of

Venusians as human? ","They use a spy ray, which allows hem to listen in on a conversation happening on an official

","They are informed by fellow Venusian rebels, who themselves heard from the council. 
"
53016,"After reading about the troubles of Captain Hannah maintaining the marocca during the transport to Gloryanna III, what can one infer about his character?",Captain Hannah is a clever and sharp man.,Captain Hannah is a meticulous and well-planned man.
51296,"As the story reaches its climax, the antagonist is","Crifer, the only person Rikud ever thought of as a companion.","Chuls, as it had been from the story's rising action."
23767,What did Kolin think about becoming a tree himself?,He was intrigued but wanted to try something slightly different.,"He wanted to be an animal, not a plant."
51256,What is Pashkov’s assignment?,To kidnap Colonel James and then impersonate him. ,To kill Colonel James. 
63616,How did Harper and Jake Ellis intend to have different experiences during their stay at the hotel?,Jake Ellis wanted to receive wellness treatments while Harper simply wanted an uninterrupted stay.,Only Harper was assigned the wrong room and received the wrong treatment during his stay.
26569,What is the symbolism of the title?,"The monkey represents Zarwell's pattern of joining resistance movements, only to watch them turn corrupt",The monkey represents Zarwell's affliction with ennui after becoming a civilian and living a more mundane existence
50869,How did Glmpauszn come to Earth?,he was born,he walked through a mirror
63304,"What two types of objects occupy the opaque glass bowl? 

","Cross slips and Venus-tobacco cigarettes 

","Atomite bomb and cross slips 

"
20073,Which is NOT a reason why the narrator is concerned with the antichrist?,He is conducting research for his dissertation. ,He thinks his life will be more important and influential than the average person.
24192,Why do people keep asking Hank what he saw?,Hank was dead for months. People want to know about the afterlife.,Hank was dead for months. People want to know which religion got it right.
20068,Why does the author think that dentistry has made new discoveries in dental disease in the past decades?,"Historically, most people would lose their teeth before the more complex dental issues arose",To scare patients into choosing to do unnecessary cosmetic procedures
61097,How does Retief navigate his problems with most people?,Aggression and intimidation are his main means of negotiation in most situations.,"He gets people to like him, much in the way he wins Chip over. "
63304,What were the lights Lowry saw in the dark?,Svan and his conspirators,The guards
61213,"What is the significance of the players’ names? 
","The players’ names correspond with what country has the most chess mastery, with Russian names hold the utmost interest.
","The players’ names represent how chess rivals reflect political rivals. 
"
23791,Which of the following describes Pop's attitude toward Sattell?,obsessive,vengeful
63875,Why did Moynihan shoot Stanley?,Stanley tried to poison him.,Stanley was protecting Albert Peet.
63916,"Of the following options, which best summarizes this story?",A man enters a club on Venus to research and participate in a strange form of entertainment.,A man enters a club on Venus to discuss business with a few colleagues.
24977,Why it was Spencer shot by the police at the bar?,He refused to tell the policeman what was wrong with him.,"There was no reason, it was a random act of violence."
50969,What is NOT true of the crew?,They could all mate with each other (it was explicitly discussed as a possibility in the story),They are all different species
55933,Why was Socks a part of this story?,"Technically Socks helped Peggy pass the time, but Socks also gives us more of an idea of what Peggy's life at home is like and how wonderful it is.",She only helped Peggy pass time while her parents made a decision.
61090,"Why does The Scorpion go mostly unnoticed, despite reaching out to the newspaper? ","Their first letter was disregarded, and their second was read by a different person. ","The police don't want to bring attention to them, because they don't believe there is a connection between the crimes. "
61081,What did Orison do when she met Kraft Gerding?,She snapped at him and threatened to quit.,She went to visit him on the upstairs floors.
27588,What incorrect assumption does Trella make about Blessing? ,He would be thrilled to hear that Quest is alive and well,He has no prior knowledge of the contents of Mansard's documents
51129,what is the 'gift from Earth'?,capitalism,destruction of the caste system
20077,How does Leigh likely feel about Gilbert and Sullivan?,Great respect,Neutral
50969,What is NOT a technological advancement involved in this story?,Advanced weaponry,Rapid healing abilities
20028,Which isn't true of the test results?,Hefeweizens were not popular among the testers,American beers typically scored higher
61242,Why did Major Winship likely refuse to call for help when they could not communicate with Pinov?,He was stubborn.,He wanted to handle the situation by protocol. 
20012,What seems to be Krugman's biggest issue with Arthur?,Arthur received too much credit for increasing returns.,Arthur didn't do enough research on increasing returns.
20038,What isn't a place that the information came from?,news shows,news columnists
53269,"How does Teena find out about radioactivity? 
","Eddie teaches Teena and her mother about about radioactivity after the news gets out about Mr. Taylor’s isotope being stolen. 
","Eddie teaches her about radioactivity when he is explaining the dream he had about Cedar Point.
"
20077,Does Morris dislike Leuchter?,"No, Leuchter is just a subject to study","Yes, Leuchter defiled Auschwitz"
20012,Why didn’t M. Mitchell Waldrop give credit to other economists in his book?,He wrote about them but it was cut during the editing process.,He left them out of the book deliberately.
61097,What is significant about the “secret” Retief unveils about the Soetti?,"They're easier to take down than they thought, meaning they can stand up to the Soetti. ",They're easy to bluff against. They'll believe what the captain tells them. 
20043,Why does the author believe Clinton is better represented than Dole?,Clinton uses proper grammar and appears sophisticated in public,Clinton is more experienced and knowledgeable than Dole
24192,Why was Hank lying down for months?,Hank's body was lying in a tank designed to regenerate his body processes.,Hank's body was lying in a cryostasis tank while the doctors figured out how to bring him back to life.
24278,Why can't they transmit Umluana as planned?,The controls at the Belderkan Preserve have been destroyed.,The controls at the Miaka station have been destroyed.
20032,What does 14 mention that no other critiques mention?,this may have a negative impact on the children,parents may be disappointed by the child born
42111,Which theory didn't they rule out for how Superior went missing?,magnetized levitation,secret government experiments
60995,Why does Linton murder Greta after just resurrecting her?,Greta attempted to kill him,He desires the rest of her insurance money
51286,What about Haron didn't excite Matilda?,his physical appearance,he lived nearby
63442,What is so unique about the cockatoos on this planet?,They are able to physically mimic any picture. ,They are able to copy speech. 
24161,What is the worst consequence of the Geiger being off scale?,Authorities will be forced to make more strict limitations when it comes to water,The entire Survey will be fired and forced to compete over prospecting jobs
23791,What do the colony inhabitants share?,fear of open spaces,traumatic brain injuries
52995,Why did the Department hope that Si would continue for three more space missions?,It would take too long to train a new pilot to complete the explorations.,He was the best of the best in the space exploration team.
24517,Who is the man climbing the mountain?,An astronomical surveyor who ended up there by accident,A mountain guide looking for survivors
20010,What was an effect of the delay in the book’s circulation?,Experts weren’t able to read through and collect evidence proving the book’s hypotheses wrong.,Criticism of the book immediately created a backlash.
62619,Why does Peter insist that Lorelei not come along for the mission?,"He knows she would mutate as well, and he wouldn't be able to handle that and put the mission at risk. ","He knows that they'll be reunited, and promises to come back."
51657,What was the one thing William admitted to doing?,stealing from the church,lying to people
51433,Why doesn't Extrone shoot the farn beasts?,Extrone wants to watch the farn beasts kill Ri.,Extrone wants to capture the farn beasts alive.
51053,Why did Opal let Rog go back to Earth?,because the aliens weren't good at capturing other men,so he could try to escape and fail
61097,Why was Retief's mission to Jorgensen's Worlds so important?,He held vital information that could change the picture of the future of the area,He was a useful aggressor who could take down an entire army if needed
50869,What is something Glmpauszn and Joe don't have in common?,their ability to become invisible,their homeland
63631,"What is the true explanation for Charles being the last man on Earth? 

","The invisible aliens exterminated people in alphabetical order, according to the the Bureau of Vital Statistics index. Charles happens to be last on the list, with the last name Zzyzst. 

","The invisible aliens exterminated people according to chance and probability. Charles just so happened to be killed last. 
"
25086,Why doesn't the robot arrive already put together?,The spaceship is only 15 feet in total circumference. If the robot was already put together it wouldn't fit inside.,The robot is sent in pieces packed in a special material to protect it from the landing impact.
52995,What is the main reason that Gubelin is so resentful of Si’s decision?,"He fears the end of the Space Exploration program, and for mankind’s research of space to come to an end.","He doesn’t want to have to go through the effort of training a new spaceman, as it’s very costly and time consuming."
31282,What is not true about the relationship between Martians and humans?,"Martians value what humans bring to their planet, including teaching them new ways to do things like conduct business and build structures.","Martians find no value in the things humans do, such as gold and diamonds, making humans feel"
50869,Why might the stories be true?,"The disappearance of Joe Binkle and Ed Smith, along with the letters and leftover clothes all point to it. ","The letters are all from different parts of the world, proving that different people wrote them. "
60283,Which is the most accurate description of why Xeon is in trouble?,The suggestions he made were against the societal ideals,He was not supposed to point out any flaws in the current government structure
61481,"Where do the creatures from another world come from? 
",Germany,"An alien world
"
51330,Why does Mrs. Graham leave such specific instructions for Mr. Graham?,Mrs. Graham strives to avoid more chaos than what Mr. Graham already attracts,"Mrs. Graham has the power to control Mr. Graham, but only in close proximity"
60897,How did the protagonist plan on beating Chapo in the card game?,By spying on him from with Japanese field glasses,By using the radio transmitter from within the same room
61467,What was Asa's true motivation for choosing Jordan's Planet?,Studying Slider eggs in their natural habitat.,He wanted to serve a reduced sentence.
24977,Why does Pembrook shoot the man in the corner?,The man in the corner is an android sent by alien masters to facilitate an invasion of Earth.,The man in the corner was an alien invader.
23588,"Which group of people shares the most similarities with the group of patients in the mental institution, as they are described by the author?",A Kindergarten class,An artists' collective
63109,Why are people after Grannie Annie? ,She knows too much about the Green Flames and they want to prevent her from obtaining it. ,"She entered the Spacemen's Club, which she was not allowed to do as a woman. "
61204,"Why doesn’t Wayne like his parents? 
","He feels that they are soft and stupid, that they’ve given up on what life has to offer.
","His parents want to keep him from breaking out, knowing that the horrors Wayne will face are too much for him. 
"
32836,What causes the shaking of the mountain?,Machines,The awakening of the Ryzgas
24966,Why is Alan so surprised to hear blaster fighting?,"Alan is surprised because the planet is only inhabited by animals, not intelligent life. ","Alan is surprised because he came with a team of scientists, not soldiers."
50969,What is NOT a similarity between Taphetta and the rest of the crew?,All of them have a comparably good reputation,All of them are respected in their fields
63097,"What is the significance of the narrator’s height? 
","It shows he is not from Dondromogon
","It shows he is the Conquering Stranger 
"
24278,Which statement best describes how Read changes throughout the story?,He overcame his cowardly ways to act for the good of his mission.,He became much less of an individual and more of a pawn for the UN.
61213,What is an accurate assumption about the Machine in the article?,"It ""thinks"" in a way that is more planned than a human.",The Machine is accurate yet slow compared to other computers.
25627,"According to Ron, what motivated him and Val to join the Geigs?",desire to maintain their present way of life,heroic reputational status upon returning to Earth
60507,What was *not* a result of the “Borenchuck Incident”?,Piltdon filed a lawsuit against Kalvin.,Super-Opener sales plummeted.
24192,Why was the cemetery joke a faux pas?,"Henry had died, but nobody was comfortable enough to talk about it.",The joke was so old that made everyone uncomfortable to hear again.
24161,What is the most precious commodity on the moon?,Water,Oxygen
20077,How does the author feel about the documentary?,It is poorly executed. ,The information is educational. 
61007,What is likely to happen to the crew when they return to the planet? ,"They'll fall victim like those before them, and have their supplies stolen. ","They'll return, still believing it's the Garden of Eden. "
61119,What is the likely cause of the proliferation of accidents in Granite City?,Something about the granite creates an inability to predict when an accident may occur.,The poor construction of the city's buildings and infrastructure.
20046,Who would the author most agree with about swearing?,Robert Graves,Ashley Montagu
99920,Which is true about managed systems?,The communication and innovation is lower because the workers have less flexibility,All of the actions in a process are performed by machines instead of humans
20043,Why does Seelye say she's hard on Dole?,because of the way his campaign is being run,because of the way he speaks
20015,What stance does the writer take in regards to Tina Brown. ,A neutral one. The anecdotes offered are too biased to make a judgement either way. ,Brown has built on William Shawn's legacy in her own way. 
51337,Why does Martin prefer to live on the yacht?,Martin is used to being isolated now. The people on land live in a different world than he does.,Martin thinks being on the ocean will make it harder for Conrad to find him.
27665,"Doris, Peter, and Hilary have all of the following characteristics in common EXCEPT for their:",Intelligence quotients,Controlled movements
51296,The characters experience many emotions for the first time during the events of this story.  What emotion(s) push the characters through the door.,Hatred and anger.,Excitement and curiosity.
62198,Why does Thig change his mind about the invasion?,"He remembers Ellen and the love he felt, and doesn't want to leave. ",He has forgotten why he lives for the Hord. 
62349,"What is Ahra referring to when she says ""something has been taken?""",The cansin male. ,Gertrude's happiness. 
31355,Which of these was not an impact of Russell's decision to kill Dunbar?,He was able to pick the path to the correct sun,Arguments increased amongst the team
20061,"What critique does film reviewer offer of Haynes? wishes he would let the picture catch its breath, that the performers would stop coming at me in stroboscopic flashes",His pacing is too frenetic and hasty,His costume and makeup design is too glamorous
50969,"Of the following options, which best describe Meredith?",Bold and pretty,Beautiful and brave
60713,Which of these is not true about Harrel Critten?,He is killed in order to protect the secret of the Red Mask,He was hired by the same people as the reporter was
51203,Why does Ben take offence to Cobb's comments about spacemen?,It's deeply personal to him. He grew up venerating space and space travel. He spent his whole life preparing for it. ,"He takes a lot of pride in his job, and dislikes Cobb disparaging it. "
51494,Why was the water important in this story?,It's where Purnie went to save his friends,It's where Purnie went searching for a device to help his friends
47841,"Of the three, who seems to keep holding secrets in more than the others?",Lorraine,Judy 
51361,What isn't a reason for narrator to be so skeptical of Gorb?,Gorb was asking for too much money,he had never heard of Wazzenazz
